"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Smith, Will","669257","2020","137",".293",".539",".411",".407",".409",".247",".442",".437",,41.9,12.9,47.3,62.5,15.3,15.5,"93"
"Kelly, Carson","608348","2020","129",".222",".355",".279",".270",".264",".133",".334",".322",,32.3,4.3,34.4,63.7,23.7,26.8,"93"
"Jansen, Danny","643376","2020","147",".247",".439",".300",".354",".366",".193",".301",".388",,36.6,8.6,35.5,72.7,19.9,24.9,"93"
"Panik, Joe","605412","2020","141",".246",".348",".296",".322",".359",".102",".291",".331",,34.4,1.1,33.3,64,18.4,18.5,"93"
"Castro, Willi","650489","2020","140",".303",".507",".393",".364",".340",".205",".528",".484",,38.3,9.6,31.9,73.1,39.3,31,"94"
"Inciarte, Ender","542255","2020","131",".211",".261",".233",".253",".283",".051",".235",".264",,29.8,1.1,6.4,66.8,27.5,24.3,"94"
"Moore, Dylan","664238","2020","159",".251",".464",".368",".357",".355",".213",".456",".439",,39.4,13.8,44.7,58.5,25.4,27,"94"
"Tellez, Rowdy","642133","2020","127",".283",".508",".369",".368",".351",".225",".408",".408",,30.5,8.4,45.3,70.2,34.2,23.4,"95"
"Polanco, Gregory","570256","2020","174",".223",".417",".232",".301",".280",".195",".326",".452",,36.8,12.6,51.6,73,34.6,42.8,"95"
"Sogard, Eric","519299","2020","128",".256",".312",".254",".290",".326",".055",".251",".299",,43.8,0,14.6,55.2,22.3,9.5,"96"
"O'Neill, Tyler","641933","2020","157",".190",".374",".271",".286",".277",".184",".316",".341",,23.7,8.2,39.2,68.7,25.1,33.9,"97"
"Díaz, Yandy","650490","2020","138",".247",".325",".367",".327",".380",".078",".352",".296",,24.7,2.1,30.9,56.9,19.6,15.7,"97"
"Chavis, Michael","656308","2020","158",".229",".394",".272",".294",".279",".166",".367",".401",,37.8,7.1,37.8,71.2,32.3,38.3,"98"
"Mountcastle, Ryan","663624","2020","140",".266",".430",".377",".328",".326",".164",".452",".382",,34.7,7.1,41.8,81.1,40.1,29.7,"98"
"France, Ty","664034","2020","155",".285",".484",".362",".360",".350",".199",".444",".442",,44.2,8.7,29.8,69.3,27,25.1,"104"
"Grandal, Yasmani","518735","2020","194",".207",".403",".338",".327",".334",".196",".418",".398",,38.1,7.6,43.8,49.3,20.1,30.7,"105"
"Moustakas, Mike","519058","2020","163",".240",".430",".340",".335",".340",".191",".383",".376",,36.2,9.5,40,68.8,29.5,24.4,"105"
"Encarnación, Edwin","429665","2020","181",".161",".366",".272",".277",".257",".205",".328",".338",,29.2,13.2,33,63.1,29.9,32.6,"106"
"McMahon, Ryan","641857","2020","193",".203",".389",".308",".296",".286",".186",".424",".405",,27.1,11.2,43,67.7,27.2,31.7,"107"
"Hoskins, Rhys","656555","2020","185",".236",".507",".382",".381",".378",".272",".434",".432",,32.4,14.8,41.7,61,22.2,26.6,"108"
"Rosario, Amed","642708","2020","147",".233",".340",".277",".261",".254",".107",".348",".328",,30.3,3.7,33,67.3,36.8,24.4,"109"
"Lopes, Tim","621005","2020","151",".235",".347",".279",".276",".275",".113",".335",".331",,29.4,2.8,39.4,74.4,33.3,29.4,"109"
"Ramos, Wilson","467092","2020","155",".247",".419",".297",".316",".306",".172",".336",".362",,26.8,7.1,42,78.9,32.2,25.9,"112"
"Heyward, Jason","518792","2020","181",".287",".451",".368",".381",".413",".163",".397",".418",,42,4.5,40.2,56.6,18.5,23.7,"112"
"Belt, Brandon","474832","2020","179",".287",".597",".427",".422",".406",".310",".493",".485",,40.7,16.8,46.9,73,19.4,23.3,"113"
"Gallo, Joey","608336","2020","226",".189",".415",".297",".315",".308",".226",".392",".429",,28.9,14,43.9,67.1,19.1,37.4,"114"
"Shaw, Travis","543768","2020","180",".241",".436",".310",".323",".309",".195",".391",".412",,34.2,7.9,44.7,69.9,24.7,29.1,"114"
"d'Arnaud, Travis","518595","2020","184",".300",".535",".392",".385",".368",".235",".513",".503",,42.2,11.2,57.8,68.7,31.5,30.9,"116"
"Hosmer, Eric","543333","2020","156",".284",".520",".359",".366",".334",".236",".412",".422",,33.3,10.3,47,68.7,34.7,20.2,"117"
"Akiyama, Shogo","673451","2020","183",".244",".326",".304",".315",".357",".081",".300",".317",,34.7,0.8,26.4,61.7,23.5,19.1,"121"
"Molina, Yadier","425877","2020","156",".254",".385",".290",".298",".296",".131",".309",".319",,38.9,2.4,25.4,72.5,39.7,24.1,"126"
"Gordon, Alex","460086","2020","184",".230",".352",".275",".301",".318",".122",".284",".322",,34.1,3.2,25.4,72.4,24,23.1,"126"
"Crawford, Brandon","543063","2020","193",".235",".398",".334",".309",".311",".163",".408",".371",,35.4,9.4,39.4,78.3,31.7,31.5,"127"
"Cruz Jr., Nelson","443558","2020","214",".269",".545",".411",".383",".369",".276",".544",".500",,39.4,15,47.2,68.5,30.8,34.2,"127"
"Santander, Anthony","623993","2020","165",".287",".516",".364",".358",".339",".228",".411",".404",,40.6,10.2,36.7,74.7,37.1,25.6,"128"
